http://www.augustana.edu/,Augustana College,augustana
http://www.augie.edu/,Augustana College,augie
http://www.aurora.edu/,Aurora University,aurora
http://www.austincollege.edu/,Austin College,austincollege
http://www.austingrad.edu/,Austin Graduate School of Theology,austingrad
http://www.apsu.edu/,Austin Peay State University,apsu
http://www.austinseminary.edu/,Austin Presbyterian Theological Seminary,austinseminary
http://www.avemaria.edu/,Ave Maria University,avemaria
http://www.averett.edu/,Averett University,averett
http://www.avila.edu/,Avila University,avila
http://www.apu.edu/,Azusa Pacific University,apu
http://www.daemen.edu/,Daemen College,daemen
http://www.dsu.edu/,Dakota State University,dsu
http://www.dwu.edu/,Dakota Wesleyan University,dwu
http://www.dbu.edu/,Dallas Baptist University,dbu
http://www.dallas.edu/,Dallas Christian College,dallas
http://www.dts.edu/,Dallas Theological Seminary,dts
http://www.daltonstate.edu/,Dalton State College,daltonstate
http://www.dwc.edu/,Daniel Webster College,dwc
http://www.dartmouth.edu/,Dartmouth College,dartmouth
http://www.davenport.edu/,Davenport University,davenport
http://www.davidson.edu/,Davidson College,davidson
http://www.davisny.edu/,Davis College,davisny
http://www.dewv.edu/,Davis &amp; Elkins College,dewv
http://www.daytonastate.edu/,Daytona State College,daytonastate
http://www.dean.edu/,Dean College,dean
http://www.defiance.edu/,Defiance College,defiance
http://www.desu.edu/,Delaware State University,desu
http://www.delval.edu/,Delaware Valley College,delval
http://www.deltastate.edu/,Delta State University,deltastate
http://www.denison.edu/,Denison University,denison
http://www.denverseminary.edu/,Denver Seminary,denverseminary
http://www.depaul.edu/,DePaul University,depaul
http://www.depauw.edu/,DePauw University,depauw
http://www.dmu.edu/,Des Moines University&ndash;Osteopathic Medical Center,dmu
http://www.desales.edu/,DeSales University,desales
http://www.devry.edu/,DeVry University,devry
http://www.add.devry.edu/,DeVry University&ndash;Addison,devry
http://www.devry.edu/locations/campuses/loc_arlingtoncampus.jsp,DeVry University&ndash;Arlington,devry
http://www.chi.devry.edu/,DeVry University&ndash;Chicago,devry
http://www.atl.devry.edu/,DeVry University&ndash;Georgia,devry
http://www.dal.devry.edu/,DeVry University&ndash;Irving,devry
http://www.kc.devry.edu/,DeVry University&ndash;Kansas City,devry
http://www.lb.devry.edu/,DeVry University&ndash;Long Beach,devry
http://www.orl.devry.edu/,DeVry University&ndash;Orlando,devry
http://www.phx.devry.edu/,DeVry University&ndash;Phoenix,devry
http://www.pom.devry.edu/,DeVry University&ndash;Pomona,devry
http://www.dickinson.edu/,Dickinson College,dickinson
http://www.dickinsonstate.edu/,Dickinson State University,dickinsonstate
http://www.dillard.edu/,Dillard University,dillard
http://www.dwci.edu/,Divine Word College,dwci
http://www.dixie.edu/,Dixie State College,dixie
http://www.doane.edu/,Doane College,doane
http://www.dc.edu/,Dominican College,dc
http://www.dhs.edu/,Dominican House of Studies,dhs
http://www.dspt.edu/,Dominican School of Philosophy &amp; Theology,dspt
http://www.dom.edu/,Dominican University,dom
http://www.dominican.edu/,Dominican University of California,dominican
http://www.donnelly.edu/,Donnelly College,donnelly
http://www.dordt.edu/,Dordt College,dordt
http://www.dowling.edu/,Dowling College,dowling
http://www.drake.edu/,Drake University,drake
http://www.drew.edu/,Drew University,drew
http://www.drexel.edu/,Drexel University,drexel
http://www.drury.edu/,Drury University,drury
http://www.duke.edu/,Duke University,duke
http://www.dunwoody.edu/,Dunwoody College of Technology,dunwoody
http://www.duq.edu/,Duquesne University,duq
http://www.dyc.edu/,D&#180;Youville College,dyc
